key;ref;value;
title;No stress<br>for compliance;Pas d'inquiétude<br>pour l'observance
tableTitle;Actual size of tablets;Taille réelle des comprimés
table_list;Boxes of 100 & 250 tablets;Boîtes de 100 et de 250 comprimés
table_list;Deconditioning pouches;Sachets de déconditionnement
table_list;Small tablets;Petits comprimés
table_list;Awarded palatability;Appétence primée
table_list;Dogs and cats;Chiens et chats
table_list;;NOUVEAUTE : grosses présentations (500 ou 600 comprimés)
pillsSize;(Real size tablets);(Taille réelle des comprimés)
